"sigma_kappa[1]","sigma_kappa[2]","sigma_kappa[3]","sigma_kappa[4]"
2.21228402495305,1.23504624797875,1.40401014279947,1.75017420062479
1.60251567874849,1.68745801085938,1.05168963576852,1.57338342825846
1.37173596256228,1.77931175071503,1.0978670702574,2.16318231301133
1.64649353539364,1.88429880871241,1.33475940658597,2.03957639361105
1.85417429988093,2.10312765519519,1.57135617983142,2.12505572494317
2.029137146668,1.93131892413452,2.16400984369815,1.94543484253253
1.59672800134116,1.71972202249872,2.68687298570177,1.80039784509345
1.62459637074816,1.63603107273037,1.71495449814892,1.87590807583835
1.66566224345954,1.67622612511707,1.67212890188339,1.58945255088077
1.37665240568599,1.8839497319524,1.89094262864524,2.07677546163519
1.51890087094817,1.56979604182491,1.00546373270483,2.61799004991799
1.96882725828017,1.13139805616419,1.71478550028654,2.38407289485019
1.83695382568279,1.65775851965651,1.95106826193918,2.86649130832801
1.97759543117205,1.49249955953001,1.9846309265672,1.43164325131064
1.82261422772962,1.74822549046461,2.24222814162229,1.6592715098848
2.52706987324778,1.81124913845336,1.99899875720893,1.34270249323645
1.51639705002753,1.80604085771234,1.51580001684262,1.34193605030374
1.49084056672447,1.86708450373396,1.81354797876103,2.01309906018644
1.67468808805909,1.98078825548824,1.88241808623072,1.75042937345929
1.8737875009695,1.7148413920259,1.80403815506782,1.50951657594199
1.54254578694429,1.42511376775554,1.11357751249361,1.38643092383916
1.35165234768691,1.54419913628987,1.25120612685052,1.28432158480339
2.21758473870368,1.38143409229577,1.56131054158433,1.41053789080777
2.0308537374688,1.60458570939963,1.74785686526185,1.28505234348413
1.583912913523,1.43486668444831,1.32316012730635,1.42949123724038
1.85867160735129,1.01976462587627,1.77509328844324,1.37532293770573
1.72840140566673,1.50825113306696,2.36641512729286,1.44622380158196
2.18031387730308,1.79656419594158,1.62609284501549,0.980324836944591
1.68937179514936,1.67471978940201,1.51756693174564,1.08446142361597
1.49888523532787,1.41400827426165,1.35762760539982,0.973834437717931
1.87234252455525,1.47306995762196,1.70232612211793,1.12149873461364
1.38371163343728,1.67220861579453,1.65189965142606,1.17762323507823
1.59394299284687,1.81397173158069,1.35908009475354,0.820153588344519
1.34786779149533,1.90365844812974,1.32671120043085,0.957111167741973
1.74482701686491,1.95189986225738,1.22525763196939,1.05619968864303
1.5605730657675,1.53572834747815,1.0903874191157,1.18965231360844
1.35225450663877,1.37672685617331,1.58155029577107,1.3743500020261
1.75514377878585,1.15285191541986,1.65121354688696,1.55577559810713
0.982789143484125,1.62435812720131,1.89957802579591,1.3416107596626
1.31951499155393,1.98559301235093,1.68442289347144,1.42889081875299
1.35523061845615,1.05222933764759,1.57199170159702,1.46358489324926
1.16831234322069,0.963602947058444,1.50213126225555,1.424617986043
1.47228655333219,1.58057546641364,1.54541659894611,1.40850474465836
1.60072856018185,1.48034500842373,1.7125740758765,2.31119093150332
1.19272423611783,2.25142986510559,1.24730422918009,1.70876948338279
1.27102448474147,2.20367728733788,1.34221721333729,1.83798369917567
1.17336308752767,2.13935900321487,2.90980537818644,1.80631180520626
2.26105347223752,1.87509592308347,1.45398802981358,1.28418212310947
2.05155188054708,2.06821942368413,1.2421274913793,1.24989162647001
1.7076286526068,1.08138934427942,1.879974534574,1.50831907816103
1.15332543341917,1.56017431038068,1.80222825263711,1.9520433738584
2.18373365488966,1.801783257965,1.38522725644858,1.41052837651916
1.85998009421597,1.7395875034099,1.52412971751838,1.4497544180341
2.17182420641492,1.24205217174222,1.57172662601342,1.06162938494206
2.1918021409942,1.76636103140399,1.80688742679988,1.35475181380081
1.48901918937898,1.60624033013053,1.00856409227366,1.23650629417308
1.60506393585648,1.52588908626177,1.55221873063866,1.28402781798455
1.80533711232551,1.95010721362762,1.4982090032952,0.995351390880263
1.46234739517875,2.24397611885863,2.06760237476021,1.19796044997032
2.07544114391302,1.59307441853128,1.45512867247949,1.64277859000785
1.24715853098632,1.75620597414452,0.919204861373718,1.30014242056761
1.24846480976838,1.76094191069065,1.37329777526933,1.60734085824659
1.74836788881848,1.95935019843076,2.12277828447712,1.38963154426206
1.5344588224031,1.45825041499531,1.75475070292111,1.3263869415275
2.15381768610974,1.79770010766792,1.97909371585498,1.24674406550624
1.98781439385804,1.96383218491203,1.71314318589739,1.49208438136716
1.81733755768905,1.5498165449402,1.47323051184295,1.66824357857731
2.55736744545708,1.81456504771498,1.78486559341291,2.36228099944771
2.40269405694247,1.79116824866486,1.32212212482988,2.52130889254034
1.65986125213894,1.78317532246518,1.37146816735098,1.40770636946294
1.4789016848982,1.79324741423251,0.926313080078764,1.61319831046383
1.48066987812518,1.60216968412918,1.18315006430768,1.30139507957381
1.47938659911802,1.5515617926416,1.14484706209672,1.3262213607051
1.4203033655681,2.03274734862691,1.28342697348516,1.593231571067
1.74955458480738,1.85879019562432,1.50213134619035,1.30635855769226
1.88608787352727,1.85594741406984,1.31728754786558,1.45714489544713
1.76057784332941,1.76387523028988,1.53106690747091,1.38749152153263
2.08907444242184,1.86528129461794,1.32003334058543,1.34053348192019
1.76657885961619,1.80329751353823,1.30776319490676,1.44833481807882
2.394520561274,1.74203601508443,1.70709889684304,1.74340824817778
2.58839359539106,1.60029693409667,1.75189557641266,1.33597241923115
2.03967254306922,1.81071764640521,1.48591787152819,1.50502531500662
1.93917750736434,1.49291369206787,2.15678358724573,1.23795548759013
1.78758790218632,1.45838770402257,1.30753969198327,1.09478587177633
1.47733032942256,1.96105805465991,2.80294106233964,1.3740200386395
1.42703747976793,1.66206553639037,1.69870748641082,1.38826052145339
1.70579230996184,1.48652591069704,1.7159403858054,1.35086502849972
1.88468113781989,1.75373596217905,1.97097304819135,1.13029564174962
1.55120025061678,1.39606236549919,1.89936936055663,1.56945620597779
1.23525047466514,1.70740676935721,1.31364493532701,1.40230633920402
1.31027891113596,1.74424546804732,1.54703098719094,1.44692593051579
1.21669278706085,2.01817144701779,1.34272925274607,1.18967623334266
1.22388069550255,1.72328011575059,1.7893901716697,1.18451744687425
1.69557359540409,1.19973378019822,1.90649285160109,1.43636629759671
2.58704498786314,1.59950179588073,1.91263113332611,1.49298051390525
2.07855645779361,1.5107969416563,1.04364302759421,1.05691664790265
1.34600061492328,1.60261396975997,1.74637123125845,1.48859528722991
1.22342187873889,1.18773715073218,1.51998878208773,1.3089787279507
2.56929227624615,1.85440229268985,1.48511505278404,1.80884614325381
1.52114331920013,1.72936777552437,1.27081437396307,1.82736629406435
1.78852725990513,1.48694083492643,1.63533356535156,1.40305122088014
1.85345326261383,2.11993740821485,1.23318123870855,1.69244263708537
1.87155915522008,1.86444523097102,1.230050506801,1.55340275903268
1.59869977026765,1.77740798547894,1.65466703678772,1.7277204819626
1.82253451176121,1.80059212147624,0.888950132521973,1.7564436351894
1.70965864782151,1.23290515094408,2.2793644533108,2.28166411030018
1.73151723397506,1.20624496436646,2.13148813073817,2.36873030143584
1.46084341049233,1.15464793033057,1.74053120098921,3.0597601155949
1.80792708582885,1.44477732692669,1.57782177255424,2.15584949130848
2.20481380487954,1.36042660058111,2.51509801137735,2.027030579775
1.74828905245883,1.36135634064282,1.80278135909022,2.25965806182839
1.64092583403959,1.89847871099753,1.80545352376979,1.67837331844506
1.7773541855906,1.80868449414907,2.03996398947835,2.13182624624238
1.76344145287637,1.56373850938394,1.91391103741155,2.27464534174824
1.60832869496146,1.62146815038606,1.94252727700548,2.34003993112505
1.35022183857681,1.86183444972123,2.11828906517268,1.95557450059253
2.36510974044695,2.21730143514537,1.46039843289197,1.84861011109694
1.53834763730963,1.52918347756834,2.55807059186559,1.85901066873527
1.63083985320123,1.62498521523207,2.96068667525097,1.81341644414664
1.55118063100758,1.59934170817064,1.61996779816218,1.69104223704843
1.78643711833199,1.49557027772669,2.1661909076276,1.78173080623417
2.12998095481955,1.61479222300402,2.47937772896824,1.89070134419939
1.63923585029327,1.62296706953891,2.29826214901953,1.89427941251404
2.21207214994078,1.62514782717064,2.4817190870066,1.98296564942307
1.63194689117284,1.75072440098964,2.0369074395426,2.19356623969568
1.92783953540137,2.08868241392512,1.56805795955176,1.36046388033623
1.81334389660037,1.51437748970634,1.4739048802458,1.62946268154393
1.33489244479648,2.00828126780555,2.31907972847029,1.29900682848143
1.33574122007225,2.11227665469644,1.69993417479015,1.17324654027668
1.87371067850276,1.89419974119252,1.58937843567176,1.42645701344146
1.43950761987399,1.49281899685921,1.867056922855,1.52457728025161
1.63828134150411,1.38800409770153,2.08356979316077,1.67313031746605
1.14845325495849,1.23236447807133,1.55819776797957,1.8923707203255
1.23496860436296,1.25184062813913,1.60132951060217,1.77155694708349
1.64500488208965,1.36615681918291,2.04468510600016,1.72513477667911
1.4178303146198,1.69820337578531,2.08827780674942,2.20821433780995
1.31361626648264,1.17213697655693,1.90239840236381,1.56586937072569
1.55975033353542,1.91139087697215,2.04658516871177,1.58320171963592
1.21637995130326,1.23317000167781,1.63282264560696,1.42636062812967
1.42109773840667,1.09252048262125,1.88323766412717,1.24583157280199
1.69520600303818,2.65975798426991,1.34491419040617,2.08392271781614
1.31015085966259,2.81919630784674,1.14750045049697,2.07813882762633
1.7449692094892,2.31723965548175,2.03375208315307,1.95874928094918
1.45203057828455,2.71130916026913,1.39945693711923,1.57070971962709
1.73201100723339,1.86585995916924,1.56459300634305,1.79916952520674
1.84723691504032,2.1584580400712,1.66033980482585,1.73064857489028
1.92496341185095,1.39469935608601,1.637707083501,2.01063847283476
1.88912508656575,1.40988642329769,1.50204875855674,2.00772110863596
1.84589763846925,1.34250280437539,1.6994590942653,1.9487436681455
1.8462493648364,1.79535942574872,1.91434019415446,1.53198228338688
1.41892677878064,1.02317149021785,1.45124147930653,1.65657093239644
1.84989691573426,1.26558772277289,1.71326862859087,1.50613682501131
2.41184419981802,1.47271709485188,2.13869004695387,1.35969994456503
1.54923483446095,2.26360605979706,2.16211026085378,1.82933567313059
2.1503586614561,2.2791946542316,3.05020125420402,1.69339485544746
1.53634057430628,1.85260268945629,1.40363352817367,1.82469166315116
1.40467640759999,1.55614523342082,1.29734168160275,1.60300975808766
1.32117596852545,1.44440638426145,1.15549072991447,1.94865656899236
1.57676023670447,2.05169742129536,1.82876870331445,1.65144385590238
1.49189534304298,1.57629567351388,1.71789632315058,1.58963915808567
1.8717314506962,1.33103599698529,1.7457451782973,1.92391671476069
1.72297973782844,1.97972186613645,2.22710041983464,1.74740644292339
1.74696223714521,1.39553056793459,1.20673156616727,2.2724543523881
1.36749055298001,1.41876353078889,1.02430472568898,1.14443896647893
1.47566662530815,1.45363374597387,1.21984738010001,1.45507360506217
1.44183898255469,1.24147597652307,1.41408428062437,1.27118962640813
1.26472193345023,1.35179501907544,1.5015427215314,1.14052677029006
