"sigma_beta[1]","sigma_beta[2]","sigma_beta[3]","sigma_beta[4]"
1.49965670305869,1.06327879323956,1.04234704342159,1.59788084403209
1.99118858765589,1.18168885757454,2.08878037830808,1.29057850493508
1.14450601679971,0.976079646580015,1.23009312800575,1.58869569166312
1.30595681781198,1.11566864968396,1.15675093398938,1.39348685899255
1.1589334443565,1.02003789509716,2.05985090024445,1.39091907846267
1.24823422427497,1.36141153554642,1.06890342752358,1.24594019738358
1.65901510390281,1.20177605515291,1.23449594540213,1.60124451400874
1.62443224716517,1.42149992972696,1.32722934230832,1.45842922085452
1.66718054606968,1.41159897322884,1.31763773654488,1.33485645002821
1.3307669847844,1.15086943758295,1.13480226424919,2.21848133537815
1.57275178820418,1.58383327040307,1.98208964718693,1.48238318772576
1.25646408172239,1.52885444591777,1.45117510232585,2.00075012127894
1.27231135630126,1.66895651228927,1.97660980076687,1.38092930581475
1.61142091029152,1.8692641642858,1.68495095526948,1.89476022949256
1.73848445878113,1.67099372648525,1.63275652438548,1.9593856921524
1.462257021518,2.10001096358064,1.89292016436112,1.93284527226971
1.53538516949624,1.98798455791279,1.53384780147377,1.61020881573965
1.24354902159052,1.36074600672639,1.49470037580236,1.66787851420548
1.19751732466208,1.71103315672357,1.54031690150699,2.15376833171867
1.20457006404122,1.84256580052578,1.42727245230841,1.6219745918558
1.39981362787325,2.20921780969915,0.918708295795698,1.79240055840598
1.12411615955224,1.14889627655529,2.60580410427177,1.84834730366296
1.13312180984323,1.18723637146114,1.58165929330185,2.17413969013055
1.90929697753582,1.88578244208956,1.81480434403145,1.22078885649022
1.77336350113791,1.44647500806487,2.26868944186725,2.4419207735257
1.90920597078933,1.53861393574363,2.53471204012285,1.73910382784445
2.31937525891845,2.27055167472824,1.1826375449845,1.99201341726418
2.21518133190031,2.42619471023782,1.39188706212305,2.34012993459261
1.93267310308331,2.2273371533038,1.23669989832184,1.94215907198374
1.78775715216377,2.04620912585805,1.21246376451093,1.9648183048986
1.06743656843932,1.39441287739781,1.357465020593,1.36026985256432
1.41204615830869,1.40656866754119,1.4187452949554,1.52162127050154
1.74026255442311,1.50509132524587,1.24753536252468,2.81308891411216
1.11949787496183,1.08283040179345,1.42430668812703,1.49913713182502
1.52269624195601,1.04728354828944,1.60233241406703,2.68205388564059
2.25066624915709,1.1909037865269,2.33815814629082,1.76255334624968
1.48646702510942,1.38319300856139,1.36715454837711,2.00691963402651
1.37650813063468,1.64097481486668,1.74199601974137,1.37865347064139
1.35273492682495,1.87638415838454,1.38309702753037,1.84208392719901
1.28790018159151,1.39213576990672,1.24656664766972,1.51167349101398
1.55640321934684,1.29006317572161,1.23755230059414,1.37556422016458
1.9881397536483,1.4056764045737,1.3117897365915,1.3060351050581
1.32330272208555,1.74395577221511,1.34451115702722,1.20913856209001
1.3588875748704,1.68065061445599,1.74422971747927,1.2482865964972
1.20037144109649,1.19735288091961,1.67695812036678,1.60159161922225
1.46408675737581,1.3477645104646,1.39887096164053,1.71225922058292
1.30347855641452,1.36714115646402,1.0497771194154,2.25735991417713
1.72982703094268,1.51018105101252,1.90578483277067,1.61217103414167
1.23404605605736,1.35831267035436,1.48753747541878,1.97763326520834
1.23078895292105,1.47006513903098,1.04296329589732,1.52742877954193
1.41544080243715,1.16634722638113,1.55696494415911,2.07703641740587
1.57973366778347,1.18012066594999,1.56090035344027,1.98884100769942
2.28192855676122,1.51832031717049,1.6646883935732,2.13746120203785
2.03399776924211,1.15314623432622,2.27965913901755,2.5106346755017
2.23305970709442,1.74112819788219,1.39820244236938,1.47201758428243
2.2293833287104,1.62067961676132,1.40740736529761,1.40091576976098
1.85623919510534,1.33479760923238,1.41444649319093,1.24684603443822
2.00886321293284,1.49476511244076,1.7608878497051,2.46912403184095
2.05489031524748,1.56972420364055,1.71958182953504,2.16868199084868
2.64754226258876,0.982453918386302,1.29796183581559,2.39534691118986
2.1972156290625,1.39756940231521,1.31200498624199,1.7671965448183
1.80257022489412,1.04671484411816,1.53186623139015,2.23100743677643
1.64285076086194,1.41223857070113,1.19032292970394,1.72078736386615
2.26136121737494,1.24599728055763,1.54743406715645,1.8387835672087
2.24482309875608,2.12320373295787,1.2246767412379,1.4319917698936
1.4428442458782,1.55893833799904,1.01511265130022,2.0168740742221
