"beta_out[1]","beta_out[2]","beta_out[3]","beta_out[4]"
0.15712224694413,0.190192394079759,0.0846486708428221,0.136699660532134
0.161524670653014,0.187618671174341,0.0830772653792687,0.137218482468862
0.186577866563757,0.191260852863504,0.0961859771357195,0.131653397352212
0.204450469885323,0.160658280278122,0.106592425974387,0.120933798024015
0.201380964653775,0.161666475663412,0.0925968911769433,0.119927362344625
0.190284364792347,0.179277316599958,0.0822644256255885,0.126653835683074
0.199535069266433,0.162758420401512,0.0948992656626781,0.121675214220239
0.172750895590015,0.200963047142392,0.112880678346555,0.133851185317078
0.205773501805812,0.158525207405902,0.0853723676684723,0.143020337569196
0.196187562619148,0.166289405296826,0.120190371604182,0.115244698707971
0.17439490004467,0.160383989886133,0.0839497563673559,0.134044456226913
0.162143307769515,0.155684872619661,0.101196049824205,0.116696721039724
0.231022671484488,0.188878295851896,0.100791394507468,0.145300970030217
0.204792677266833,0.161447857363488,0.0982570744475599,0.124847581785957
0.198070976117461,0.167652016915838,0.0874442165024105,0.12254464825052
0.189734177727589,0.162803319024353,0.0966454776915128,0.125916517741158
0.189365681265825,0.16875529146969,0.0950999645747376,0.128757824553651
0.192232973351433,0.172599543228476,0.096073421067883,0.143345136943264
0.231948964681039,0.178158248702596,0.0880553623497779,0.134027406922761
0.157303410308569,0.178752236477966,0.0953794482149657,0.131443796019277
0.156186449890948,0.180466417181471,0.0947660779373363,0.130430084823711
0.159950178444178,0.190145938655237,0.0920675006168112,0.134757142354148
0.170013914761143,0.179780398401994,0.0953191149575042,0.136729961676715
0.167300245892905,0.167522867977854,0.0934279979578287,0.139755254158373
0.161475920559094,0.169164492014799,0.0953683131040244,0.136186893824831
0.183258016808146,0.199573564157089,0.109857934584342,0.158454939888481
0.161009205724483,0.186133709365141,0.108661121026634,0.163806342946345
0.212053175781535,0.164705031624457,0.100327127210161,0.121120339129834
0.208184053023809,0.175514593346636,0.110902588506876,0.132767324924228
0.208267309258714,0.186883473536532,0.0938852262145276,0.117444009645218
0.181494126068559,0.172598748725909,0.0924301894732445,0.124117646790048
0.199074544520986,0.152112724333581,0.0973147508788091,0.132649428555055
0.190541738706338,0.169950699051085,0.0638958853220353,0.115564936041334
0.186108861596435,0.16673828872873,0.0923237771931494,0.130860355479444
